"idate","itime","station_id","qualitaets_niveau_air_temperature","struktur_version_air_temperature","lufttemperatur","rel_feuchte"
1947-01-21,22:00:00,284,5,24,-1.9,86
1947-01-21,23:00:00,284,5,24,-2.2,82
1947-01-22,00:00:00,284,5,24,-3,76
1947-01-22,01:00:00,284,5,24,-3.8,74
1947-01-22,02:00:00,284,5,24,-4.6,75
1947-01-22,03:00:00,284,5,24,-5.4,80
1947-01-22,04:00:00,284,5,24,-5.9,85
1947-01-22,05:00:00,284,5,24,-6.5,86
1947-01-22,06:00:00,284,5,24,-6.8,87
1947-01-22,07:00:00,284,5,24,-6.7,89
1947-01-22,08:00:00,284,5,24,-6.6,86
1947-01-22,09:00:00,284,5,24,-6.3,72
1947-01-22,10:00:00,284,5,24,-5.7,58
1947-01-22,11:00:00,284,5,24,-4,53
1947-01-22,12:00:00,284,5,24,-3.4,55
1947-01-22,13:00:00,284,5,24,-3.3,58
1947-01-22,14:00:00,284,5,24,-3.2,61
1947-01-22,15:00:00,284,5,24,-3.5,60
1947-01-22,16:00:00,284,5,24,-3.6,63
1947-01-22,17:00:00,284,5,24,-3.7,63
1947-01-22,18:00:00,284,5,24,-4.1,70
1947-01-22,19:00:00,284,5,24,-5.3,75
1947-01-22,20:00:00,284,5,24,-5,80
1947-01-22,21:00:00,284,5,24,-4.8,77
1947-01-22,22:00:00,284,5,24,-5,76
1947-01-22,23:00:00,284,5,24,-5,77
1947-01-23,00:00:00,284,5,24,-4.6,78
1947-01-23,01:00:00,284,5,24,-4.9,78
1947-01-23,02:00:00,284,5,24,-5,79
1947-01-23,03:00:00,284,5,24,-5.1,80
1947-01-23,04:00:00,284,5,24,-5,82
1947-01-23,05:00:00,284,5,24,-4.9,85
1947-01-23,06:00:00,284,5,24,-5.5,87
1947-01-23,07:00:00,284,5,24,-5.6,90
1947-01-23,08:00:00,284,5,24,-5.3,88
1947-01-23,09:00:00,284,5,24,-4.8,74
1947-01-23,10:00:00,284,5,24,-4.6,74
1947-01-23,11:00:00,284,5,24,-4,72
1947-01-23,12:00:00,284,5,24,-3.9,67
1947-01-23,13:00:00,284,5,24,-4,65
1947-01-23,14:00:00,284,5,24,-3.5,64
1947-01-23,15:00:00,284,5,24,-3.5,60
1947-01-23,16:00:00,284,5,24,-4.5,61
